caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5
water is running and a person speaks,water pouring and bubbling,water flowing nearby,a water faucet runs and water falls onto a hard surface,water runs into a container as other streams run in the background,water is running through a sink as some water goes down the sink
a vehicle engine is running and revving up,motor noise is followed by a horn honking and a siren wailing,an emergency vehicle engine runs then a horn blows and siren sounds,a diesel truck runs while a siren whales and a horn blows,a diesel engine runs while a siren wails and horn blows,noisy traffic goes by on a busy road then an emergency siren on a fire truck and an ambulance sound
a man speaks and a vehicle engine runs,goats bleat and people speak,objects are moved around while people talk and a goat bleats,a person walks along and a man speaks as a goat bleats,a man speaks then a goat vocalizes,rustling with people speaking and a goat bleating
,the revving of an engine throttle followed by a man speaking,a vehicle accelerates and revs the engine and a person speaks quickly,a vehicle engine accelerates then someone speaks,a car races by followed by a guy speaking and a hiss,a car revs up and then a person talks nearby
a vehicle engine is running and revving up,a speedboat passes quickly on the water,a vehicle engine runs at a high speed,a boat splays through water with the engine blaring loudly,a boat passing by quickly,a medium sized engine runs and a man talks
a man speaks and a vehicle engine runs,water flows and people speak,the wind blows loudly while a man and woman speak and water splashes,wind blows and a man speaks while water splashes,wind blows and water ripples as a man and woman speak,winds fiercely blow as a group of people speak
a person speaks and a vehicle engine runs,people speak in the background as a clock ticktocks,a man speaks in the background while a slow tick repeats,people converse in the distance as a clock ticks,a person is talking and a ticking occurs in the background,people speaking with nearby ticking of a clock
birds are chirping and a person speaks,birds chirp and a pop occurs before a man speaks,birds chirp quietly and an adult man speaks,a soft plastic clack as seagulls squawk in the distance followed by a man talking,birds chirp and a man speaks,birds twitter and chirp as a man speak quietly
a man speaks and a vehicle engine runs,a stream of water flows as people talk and wind blows,wind blows as people chatter quietly,a light wind blows as a man speaks with a sound of waves,waves crash against a shoreline while people speak,wind blows while people talk and waves crash against a shoreline
a man speaks and a vehicle engine runs,rain falls on a surface as men speak and thunder roars,rain falls on a surface as men speak and music plays,music sounds as men narrate over rainfall,men narrate as rain falls onto a hard surface and thunder roars,music plays as rain falls and men narrate
a person speaks and a vehicle engine runs,water splashes as an animal walks through,water splashes and someone speaks,water splashes and a person speaks,water splashes then a person speaks,some liquid splashes nearby
a person speaks and a vehicle engine runs,someone is typing on a computer keyboard,someone is typing on a computer keyboard,someone is typing on a computer keyboard,a person is typing on a computer keyboard,someone is typing on a computer keyboard
wind blows hard as water splashes and a person speaks,waves crash against a shoreline and people speak,waves crash against a shoreline as people laugh,waves crash against a shoreline and people laugh,ocean waves crashing as a man talks followed by another man and a woman laughing then pattering on a plastic surface before water splashes and a wave crashes,waves crash and people laugh
a man speaks and a vehicle engine runs,a man speaks and metal makes noise,a guy speaks with a loud clang in the middle,a man speaks over metal clanging,white noise with muffled male speech and intermittent clanking,a man speaks as a metal gate closes
a man speaks and a vehicle engine runs,a man speaks as a boat engine runs,a person speaks as a motorboat drives and the wake splashes in the background,a machine runs in the background as a man gives a speech,a man speaks as a boat engine runs,a man speaks as a boat engine runs
a person speaks and a vehicle engine runs,a weapon fires multiple times,plastic clanking followed by gunshots,a magazine is loaded and gunshots ring out,rattling noises are followed by rapid loud pops,a magazine is loaded and gunfire occurs
a vehicle engine is running and revving up,people converse as a motor runs and air brakes hiss,humming of an idling engine with people speaking and a hydraulic hiss,a vehicle hums along as several people converse,people speak as a bus decelerates and a door opens,an engine works while people talk
a vehicle engine is running and revving up,an airplane engine runs,distant humming of an engine,wind blows and a vehicle accelerates,aircraft fly in the distance and a nearby motor runs,a vehicle passes by as an aircraft engine runs
a vehicle engine is running and revving up,a group of people chatter and talk as multiple horns honk in the background,several people talk and horns are triggered,car vehicles honk horns while a crowd talks loudly in the foreground,horns blow as people speak,horns honk discordantly as numerous people talk
a vehicle engine is running and revving up,a motorcycle engine revs then accelerates before hitting a bump,a motorcycle engine revs then hits a bump,a motorcycle engine revs then hits a bump,a motorcycle engine revs then accelerates before bouncing,a room and a room of an engine and then thumping
rain falls on a surface as thunder runs,water splashing and wind blowing followed by distant roars of thunder,rain falls onto a hard surface and thunder roars,rain falls steadily and thunder rumbles,rain falls on to a hard surface and thunder roars,rain falls onto a surface and thunder roars
a baby cries and a woman speaks,a baby coos and fidgets as a lady speaks and laughs,a child and woman laughs and the woman speaks,a young baby laughs and giggles while a man and woman speak and laugh,a baby and woman laugh,a female laughs as a baby fidgets and babbles
birds are chirping and a person speaks,various birds chirp and squeal and an animal grunts,multiple birds chirp and an animal grunts,birds chirp then an animal grunts,birds chirp and animals make noise,a dog whimpers with birds chirping in the background
a person speaks and a vehicle engine runs,a frog vocalizes while birds chirp,wind blows softly as an animal croaks,a frog repeatedly croaks,a frog croaks nearby while some liquid flows,water trickles as frogs croak loudly
a machine runs and a person speaks,continuous buzzing and hissing,a small motor run at a high speed,a drill runs continuously,a machine blowing out air,a drill runs continuously
a machine runs and a person speaks,large weapons fire repeatedly,multiple rounds of gunfire are shot,artillery cannons firing as a vehicle engine accelerates then runs idle,gunfire booms loudly and repeatedly,rapid fire loud booming gunshots
a person speaks and a vehicle engine runs,several ducks quack and cocks crow far away,ducks quack continuously,ducks quack lazily as other birds call out in the distance,a rooster crows and a duck quacks while people speak in the background,cows moo and are then joined by rooster crowing and then ducks quacking
a man speaks and a vehicle engine runs,food is frying while a woman speaks,people speak softly as food sizzles,loud sizzling with a man speaking softly,food frying with person narrating,food is frying while an adult speaks
birds are chirping and a person speaks,men speak as birds chirp,men speak and birds chirp,a man speaks while birds tweet,a man talks as a bird is chirping,a man speaks as birds vocalize
a vehicle engine is running and revving up,a race car approaches quickly and slows down squealing tires,a mechanical buzzing getting louder,a vehicle accelerates before slowing down and squealing tires,a race car approaches quickly squealing tires,a race car accelerates quickly before decelerating and squealing tires
a vehicle engine is running and revving up,continuous chugging with birds chirping in the background,birds chirp as a train approaches,a train moves getting closer while birds tweet,a low rumble and some birds chirping in the distance,birds chirp and a train approaches
a vehicle engine is running and revving up,multiple motorcycles pass by as a man speaks,a man speaks then multiple motorcycles pass by,a man speaks then multiple motorcycles pass by,vehicles pass as a man speaks,a vehicle passing while a man talks by followed by several motorcycles passing by as another man talks in the background
a man speaks and a vehicle engine runs,a person speaks briefly,a person speaks over rustling leaves,a man speaking with light rustling,leaves rustle while man speaks,a man speaks as the ground is rustling beneath his feet
a vehicle engine is running and revving up,an airplane engine spools and people speak,an aircraft engine runs as people speak,wind blows as an airplane engine spools and people speak,a small motor races and whirls,an electric engine works nearby while people talk far away
a man speaks and a vehicle engine runs,a man speaks slowly and water drips,a man speaking as water trickles while a small motor hums,a man speaks while water flows,a grown man speaks as water softly runs,a man speaks as a water faucet runs
a vehicle engine is running and revving up,a speedboat revs then accelerates quickly across the water,a speedboat accelerates quickly as people speak,wind blowing with high powered and high frequency humming of an engine,a speedboat accelerates quickly as wind blows and people speak,a speedboat engine revs then accelerates quickly
a vehicle engine is running and revving up,heavy rain splashes as it falls,a heavy rain falls endlessly,rain falls heavily on a surface and a storm builds in the background with loud thunder,rain falls on a hard surface,rain falls on a hard surface
a vehicle engine is running and revving up,waves of water rumble,wind is blowing and ocean waves are crashing and water is splashing and a person whoops once in the background,waves crash and wind blows,water rushes nearby,water splashes and flows
a vehicle engine is running and revving up,women speak and laugh as wind blows,females talk and laugh over gusting wind,wind blows while a woman laughs and another speaks then a horn sounds,a woman talks as another woman laughs while the wind blows loudly against them,a woman speaks and another laughs as wind blows and a foghorn sounds
birds are chirping and a person speaks,leaves rustling followed by a small bell chiming as birds chirp in the background,birds chirp as a bell rings,birds chirp and a bell rings,a bell rings while birds chirp,chimes ring very lightly
a man speaks and a vehicle engine runs,a man speaks as music plays before artillery is fired,a young man talks over low music and gunfire,a young man speaks as music plays softly and weapons fire,a young man speaks over gunfire and low music,music plays a young man speaks and gunshots ring out
a train horn blows and a person speaks,an engine runs then a train horn sounds,a train chugs by and its horn blows,mechanical humming and vibrating,a railroad car lumbers along and a horn honks,a train approaches and the train horn sounds
a vehicle engine is running and revving up,engines sputter roughly and tires squeal,engine races noisily and tires screech,a vehicle engine idles then revs and squeals tires,a car revs loudly while racing then the tires screech as it turns,a motorbike engine revving several times followed by tires squeaking
a person speaks and a vehicle engine runs,a person snoring,a sleeping male snores haltingly,a young man is continuously and steadily snoring,a person is snoring while sleeping,a person snores in small bursts
a vehicle engine is running and revving up,a vehicle engine runs and someone speaks,the wind blares loudly as cars speed by and clothing flaps in the wind,the wind blows loudly while a car drives by and a man speaks,wind blows and engines run then a man speaks,humming of an engine with wind blowing hard and a man speaking briefly
a dog barks and a man speaks,a dog barks and growls while a man speaks then the dog stops barking and then people begin talking,a dog barks repeatedly and growls while a man and woman speaks,a dog barks and growls before a man and woman speak,a dark barks and growls while a man and woman speak,a dog barks and growls before a man and woman speak
a person speaks and a vehicle engine runs,someone whistles briefly,a person whistles a meandering tune,someone whistles briefly,a person whistles a discordant tune,a person whistles a tune
a person speaks and a vehicle engine runs,a machine beeps continuously,electronic beeps occur in a short series,a beep repeats multiple times,a beep sounds several times,beeps occur continuously
a person speaks and a vehicle engine runs,a sewing machine runs briefly,a sewing machine works nearby,a sewing machine runs slowly and briefly,a machine clatters and clicks as birds sing in the background,a repeated hissing and ticking
,a stream of water runs briefly,water rushes by,a flowing bubbling stream is interrupted by a loud thunk,a gurgling stream is interrupted by a large thump,a stream of water flows
a baby cries and a woman speaks,loud intermittent buzzing with intermittent laughter,a baby laugh at a sputter,someone makes a blowing sound and a baby laughs,a person makes a snoring noise and a baby laughs,a person blows raspberries while a baby laughs
a person speaks and a vehicle engine runs,a woman speaks and a baby laughs,a woman speaks and laughs at a baby laughing,a baby cries and fidgets as a woman speaks and a man speaks,a baby laughs as a female speaks and laughs and a male speaks,a baby cries loudly while a woman laughs and speaks
a person speaks and a vehicle engine runs,a person screams glaringly,a goat screams and people speak in the background,a goat screams loudly while people speak,wind blowing with rustling and people speaking in the distance followed by a loud nearby scream,white noise and screaming
a vehicle engine is running and revving up,a small engine runs fast,a small engine runs briefly then idles,a small engine revs and idles,an engine works nearby,a small motor run at two different pitches
wind blows hard as water splashes and a person speaks,water splashes and wind noise is made into a microphone,water splashes and wind blows as birds chirp,the wind blares loudly against some clothing and water splashes in a river,water splashes as wind noise takes place in a microphone,water splashes and wind blows
a vehicle engine is running and revving up,a motor sputters as light wind blows,a helicopter flies overhead and wind blows while someone speaks,vibrating and humming from passing helicopters,a helicopter flies overhead while wind blows and people talk,a helicopter engine noise gets closer than passes by
a vehicle engine is running and revving up,some clanking with distant murmuring,people speak then an engine runs,a roaring of wind is continues outside,static occurs as multiple people speak,a crowd of men and woman chatter as a vehicle goes by
a vehicle engine is running and revving up,a vehicle accelerates squealing tires,engines run and fade into the distance,a vehicle accelerates squealing tires,a vehicle accelerates and squeals tires,humming of a powerful passing engine speeding by
a person speaks and a vehicle engine runs,a man speaks as insects buzz and a bird chirps,a man speaks as bees buzz and birds chirp,a man grunts and speaks as bees buzz,a man speaks while birds chirping and insects crying,a man speaks as insects are buzzing
birds are chirping and a person speaks,birds tweet while a music is played followed by a man and a kid talking and a whistle,music followed by chirping and speech and then a high pitched distant horn,music is followed by a mans voice then a kids voice and finally a train whistle,birds chirp followed by a man speaking and then a whistle,music plays and birds chirp before a man speaks and a whistle blows
a person speaks and a vehicle engine runs,a motor runs and stops and animals squawk and croak,submachine gun fire along with creature sound effects that continues after gunfire stops,gunshots fire as a frog croaks,a motor sputters animals croak and a person exclaims,a motor runs choppily followed by an animal croaking and a person exclaiming
,an animal bleats a pig squeals and a loud boom occurs,a bang followed by baaing and silence,a sheep baas followed by an oink and then explosion,continuous oinking,a sheep baas followed by a pig oinking then a loud explosion and a grunt
a man speaks and a vehicle engine runs,a man speaks followed by another man speaking outside,a male speaks and another male speaks,a man speaks before another man is interviewed,a man speaking followed by hissing and another man speaking,a man speaks before another man talks over an engine sound
a vehicle engine is running and revving up,a jet engine roars almost making a man inaudible,an aircraft engine screams as a man speaks in low tones,the loud engine of an aircraft revving up and the wind pumping loudly a male voice speaks as well,an aircraft engine screeches loudly as the wind bustles around men speaking,an airplane engine works nearby while a man talks
a man speaks and a vehicle engine runs,speaking following by laughing and clapping,a person speaks and an audience gives applause,a woman speaks and people laugh then give applause,a woman speaks and an audience yells and gives applause,a woman speaks as audience members respond enthusiastically
a vehicle engine is running and revving up,a small airplane approaches and then flies by after and during which a boy speaks,an airplane flies overhead as a woman speaks,a airplane flies overhead as a woman speaks,an airplane flies overhead as a woman speaks,an airplane passes overhead with a woman speaking
a man speaks and a vehicle engine runs,a man speaks over intermittent keyboard taps,a man speaks while playing a video game on a keyboard,a man speaks while video game music plays with some clicking,music plays as a man speaks and types on a keyboard,a man speaks over keyboard sounds and some background electronic music
a person speaks and a vehicle engine runs,a woman speaking with distant croaks and chirps of frogs then a child speaks,a woman and child speak while frogs vocalize,a woman and child speak while frogs croak,a woman and child speak as frogs vocalize,frogs croak as a woman and child speak
a woman speaks and a vehicle engine runs,a child babbles as a woman speaks,children speak as a female ask them questions,a woman and several kids talk,a woman speaks cheerfully as a baby laughs and babbles,as a baby talks in the distance a woman speaks nearby
birds are chirping and a person speaks,a bird chirps in response to a woman chirping for the birds,someone whistles calling an animal while birds chirp,birds chirp and whistle followed by a boy speaking,a person whistles as birds vocalize,a person whistles and yells as wind lightly gusts
a person speaks and a vehicle engine runs,a music is played followed by a frog croaking and then music is played again,frogs croak and music plays,a melody plays then a frog chirps monotonously,perky music is followed by a frog croaking,music playing followed by a frog chirping
a clock ticking and a person speaks,a clock ticktocks then rings three times,white noise and ticking followed by a bell chiming,a clock ticktocks and an alarm sounds,a clock ticks before sounding an alarm,water flows in the background while there is ticking followed by a gong
a vehicle engine is running and revving up,an airplane engine runs,an aircraft engine runs,an aircraft engine runs,a high pitched engine running continuously,an airplane engine runs loudly as men speak
a toilet flushing,a muffled toilet flushes and the water drains,a toilet flushes and water drains,a toilet flushes and water drains,a toilet flushes once,a toilet flushes and water drains
a person speaks and a vehicle engine runs,a person is snoring while sleeping,a person is snoring while sleeping,someone snoring,a person snores while sleeping,a person snores
a woman speaks and a vehicle engine runs,a woman speaks followed by another woman whimpering and speaking,a woman speaks and a woman sobs,a woman speaks and another woman cries,a woman speaks followed by her whimpering,a woman speaks followed by another woman who cries and speaks
a man speaks and a vehicle engine runs,a man speaks while a machine runs before a smoke alarm beeps,a man speaks followed by an electronic beep and another man speaking,a man speaks and a smoke alarm beeps,a man speaks then makes a device beep,a man speaks followed by a two beeps and another man speaking
a man speaks and a vehicle engine runs,a male speaks as metal clicks and a gun fires once,a man speaks and a weapon cocks and fires,a man speaks while loading a gun cocking it and shooting,a man talks while something clicks and then a gun shoots then the man begins talking again,a man speaks and then gunfire takes place
a person speaks and a vehicle engine runs,a whistling owl calls out repeatedly and insects screech,an owl hoots and insects screech,a loud whistling sound is in the background followed by a series of loud bird screeches,a hooting bird is followed by a screech of insects,an owl whistles outside in the quiet followed by soft hooting
a clock ticking and a person speaks,a clock ticktocks and sounds an alarm then a man laughs,a clock ticktocks and sounds an alarm then a man laughs,clocks tick cuckoo and chime as a man laughs,light chiming of bells with the ticking of a nearby clock followed by a brief coo and people laughing,constant static as a clock plays a tune and ticktocks then a man says something and laughs
a machine runs and a person speaks,a piece of wood is being placed down and sawed,sawing of wood and rustling with leaves blowing in the distance,sawing stops then repeats,a chunk of wood is being sawed through with a saw,a saw cuts roughly through something
,music plays a person speaks followed by whooshes and a ding,a small voice speaks music plays followed by a double whoosh and then a bell dings,a kid speaks followed by music playing,music plays as a swoosh occurs and a bell rings,cartoonist music is followed by a squeaky voice
a vehicle engine is running and revving up,a vehicle engine accelerating then running on idle,a motor idles accelerates then slows down,a vehicle engine is idling before revving,a vehicle engine is revving and idling,a vehicle engine idles then begins revving
a train horn blows and a person speaks,a steam engine runs and whistles as it passes by,a whistle blows as a train chugs by,a train chugs nearby while blowing a horn,a train chugs along as its steam whistle screeches loudly and it moves on the track,a steam train moves along a set of tracks and blows a horn
a vehicle engine is running and revving up,an engine increases in power as it runs,an aircraft making a sustained high-pitched engine noise,an engine buzzing consistently,a high pitched engine runs,an aircraft engine runs
a vehicle engine is running and revving up,a motorcycle engine is revving while people are speaking,a car revs and accelerates loudly and men and women chatter among themselves,a motor rooms and people chatter and talk,a vehicle engine is revving before idling,an engine revs followed by people speaking
water is splashing and a person speaks,a gun shoots followed by water sloshing nearby,a pop occurs then water splashes and trickles,a snap occurs as water splashes and trickles from an object,a gunshot is followed by splashing,a snap occurs then water splashes and trickles from an object
a woman speaks and a vehicle engine runs,a woman and man speak while food is frying,a woman and man speak while frying food,a woman and man speak while frying food and music plays,sizzling and metal thumping are ongoing metal clinks an adult male and adult female speak and music plays in the background,a man and woman are speaking while grease is popping
a person speaks and a vehicle engine runs,a bird whistles loudly while another bird whistles in the distance as some wind blows,a person whistles several times and a soft wind blows,a person whistles while wind blows and birds chirp,soft whistling with wind blowing,a person whistles as a light wind rustles
,a man talks while a clock does ticktock,a man speaks as a clock ticks,a man speaks as a clock ticktocks,an adult man speaks as a clock ticks intermittently,a man speaks then a clock ticktocks
a vehicle engine is running and revving up,an engine sputters followed by a car zooming by,engines scream and race by as another engine sputters,an engine stutters followed by a car speeding by,a fast car accelerates,multiple vehicles race by and a struggling engine sputters
a man speaks and a vehicle engine runs,water pours followed by a woman speaking and then a man speaking,women speak as water runs briefly children call out and a man speaks,water is poured as male and female people speak,water flows as women and men speak while children talk in the background,a woman speaks as water flows then the water stops and a man speaks
a vehicle engine is running and revving up,a crowd yells reacts and applauds,people vocalize and give applause,a crowd gives applause and sighs,crowd cheers and gasps as a ball is kicked then applaud,many voices yelling then applause
