caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5,mult_captions_predicted_1,mult_captions_predicted_2
a vehicle engine is idling and vibrating,vehicles passing by slowly together with distant murmuring,vehicles driving by as people talk in the background,motor vehicles are driving with loud engines and a person whistles,vehicles driving by then accelerating and revving as a crowd of people talk,someone in a crowd whistles while engines rev in cars going slowly by,a vehicle engine is idling,a vehicle engine is idling and vibrating
water is flowing and gurgling and gurgling and gurgling and an adult male speaks in the background,water is trickling and a man talks,splashing water and quiet murmuring,bubbles gurgling and water spraying as a man speaks softly while crowd of people talk in the background,water trickling and faint muffled speech,water spraying and gurgling as a man speaks and a crowd of people talk in the background,water is flowing and gurgling and gurgling and gurgling and an adult male speaks,water is flowing and gurgling and gurgling and gurgling and an adult male speaks in the background
a man laughs and then a woman speaks and laughs,scraping and speech followed by people laughing,a scratching of surface sound followed by men talking and snickering,metal clacking followed by a man talking then a metal bang as footsteps shuffle on dirt and a group of men laugh,man talks while striking and popping occurs then a second man laughs,rustling and scratching and then laughter,a man laughs and then a woman laughs,a man laughs and then a woman speaks and laughs
a woman speaks followed by a pig oinking,birds cackling and young peoples voices,a man speaking followed by pigeons cooing and flapping wings then a kid speaking and someone claps loudly,a man talking then a young boy talking followed by a loud pop as pigeons coo and bird wings flap,a man talking followed by pigeons cooing and bird wings flapping then a young man talking,a male voice speaks and a bird coos and flaps its wings,a woman speaks followed by a pig oinking,a woman speaks followed by a pig oinking and a woman speaking
ducks quack and water runs,birds are squawking and ducks are quacking,ducks quacking as roosters crow and chickens cluck while water trickles,ducks quack and water splashes with some animal screeching in the background,several ducks quack with some distant humming,ducks are quaking along with geese honking,ducks quacking and chirping,ducks quack and water runs
a series of gunshots firing followed by a series of gunshots firing,repeated gunfire and screaming in the background,rapid gunfire and faint screaming,multiple gun shots woman screaming,a person groaning followed by a series of gunshots and a high-pitched grunt then synthesized laser effects as music plays in the background,gunfire sounds with video game sounds,a series of gunshots firing followed by explosions and explosions,a series of gunshots firing followed by a series of gunshots firing
a motor vehicle engine is running and vibrating,an aircraft engine is taking off,small aircraft taking off and receding into the distance,an aircraft engine runs and vibrates metal spinning and grinding occur and the engine accelerates and fades into the distance,the loud idling of a machine,an airplane engine revving then running,a motor vehicle engine is running and vibrating,a motor vehicle engine is running and vibrating and then it accelerates
water running from a sink while a man speaks,water running with a main is speaking,water flowing and splashing from a faucet with a man speaking,a man is talking as tap water is running,faucet running and a man speaks,faucet water pouring followed by a man talking as water gurgles down a drain,water running from a sink while a man speaks,water running from a sink while a man is speaking
a woman speaks and then a woman speaks,a female speaking with some rustling followed by another female speaking,a tin can rattling followed by a woman talking,woman speaking plastic container opening,clinking and rustling followed by a woman speaking,a tin can clacking followed by a girl talking then a woman talking,a woman speaking and laughing,a woman speaks and then a woman speaks
a man speaking,males speaking and then a clock ticks twice,a man speaks and then two ticktocks click off,a male speaking,a man is speaking,men are communicating followed by a ticktock noise,a man speaking,a man speaks and then a door opens
a car engine revving and accelerating,an engine revving and then tires squealing,a crowd of people talking followed by a vehicle engine revving then tires skidding,a vehicle engine revving followed by tires skidding as a group of people talk in the background,an engine revving and then tires screeching,a truck engine revving followed by tires skidding as a crowd of people talk in the background,a car engine revving and accelerating,a car engine revving and accelerating and accelerating
a woman speaks while food sizzles,a woman speaking followed by a porcelain plate clanking as food and oil sizzles,food and oil sizzling as a woman is talking followed by dinner plates clanking,a woman talking followed by a plate rattling as food and oil sizzle,food and oil sizzling followed by a woman talking then plastic thumping,a woman is speaking with sizzling background noise,a woman speaks while food sizzles,a woman is speaking and water is running
a car engine is revving up,an engine hums as it idles,a muffled vehicle engine revving then running idle as cloth rustles,humming of an idling engine,a motor runs faintly in the distance,a vehicle engine revving then running idle followed by cloth shuffling,a car engine is revving up,a vehicle engine is revving up
a train horn blows and a train passes by,blowing of a horn as a train passes,a train whistle blowing as a train runs on railroad tracks and a railroad crossing warning signal rings,a train running on railroad tracks as a train horn whistle blows several times while railroad crossing warning signals are ringing,a high pitched loud horn honking followed by clanking and bells ringing,a train running and the horn blowing,a train horn blows as it passes by,a train horn blows and a train passes by
a spray is released several times,short spray followed by louder longer spray,spray and then a loud pop and hiss,several varying hisses,air spraying followed by fire igniting then audio static proceeded by pressurized air releasing before softly hissing,air spraying followed by fire igniting then loud audio static followed by pressurized air releasing,a spray is released several times,a spray is released several times and then a machine runs
wind blowing hard and a vehicle engine revving,a motor is revving and changing gears,a motorboat driving by as water splashes followed by wind blowing into a microphone,a motorboat driving by as water splashes followed by wind blowing into a microphone,a boat motor runs fast and water splashes at regular intervals then it fades and the wind is blowing,a speedboat is traveling across water followed by strong wind noise,wind blowing and a vehicle engine revving,wind blowing hard and a vehicle engine revving
an engine revving up and then accelerating,humming from an engine slowing down then speeding up,a bus engine driving then slowing down before accelerating,a bus engine slowing down then accelerating,a vehicle running and then speeding up,a bus engine slowing down then accelerating,an engine revving up and down,an engine revving up and then accelerating
a baby cries and a woman speaks,a baby cries as a woman speaks with other speech background noise,woman making a soothing sound while baby cries,a woman talks as a baby cries,an infant crying with murmuring in the background,a baby crying followed by the voice of a woman,a baby cries and a woman speaks,a baby cries while a woman speaks
a woman and a woman talk and laughs,ocean waves crashing in the distance as young girl talks followed by a young man talking while a group of children laughs in the background and wind blows into a microphone,wind blowing and waves crashing with people speaking,kids laughing then talking followed by a young man talking as wind blows into a microphone,a child speaking and then an adult speaking,people talk in the background and the wind is blows gently and two kids speak in the foreground,a woman and a woman talk,a woman and a woman talk and laughs
a woman is speaking,an adult female speaks and muted speech occurs briefly in the background,female speaking,a woman delivers a speech,a woman speaking,a woman is speaking,a woman speaking,a woman is speaking
a motorcycle engine is started up,a metal clank followed by motor vibrating and rumbling,humming and a rattle,clicking followed by humming noise,a click occurs and a low-pitched electronic vibration begins,faint low vibrations and humming,a motorcycle engine is idling,a motorcycle engine is started up
music plays while a man speaks,music and a man speaking followed by bleeps and someone singing,music playing as a man is speaking followed by a series of electronic beeping and meowing,electronic beeping followed by a cat singing then meowing as paper shuffles and a man talks with music playing in the background,a man speaks with some quick meows and digital beeps,man speaking with electronic sounds in the background,music plays while a man speaks,a man speaks while music plays
a small motor vehicle engine is running and then fades down,motorboat engine screams as it accelerates,high frequency vibrations with faint splashing,a high frequency motor hums loudly and splashes water,a toy motor buzzing as water splashes and birds chirp in the distance,water splashing and something buzzing by,a small motor vehicle engine is running,a small motor vehicle engine is running and then fades down
a train running on railroad tracks followed by a train horn honking,a vehicle horn honking followed by a large truck engine accelerating while wind blows lightly into a microphone,semi-truck honking then taking off,a horn and then an engine revving,roadway noise and a horn beep,humming from a truck with a blowing horn,a train running on railroad tracks followed by a train horn honking,a train running on railroad tracks followed by a train horn honking and a train passing by
a man speaks while insects buzz,many insects are buzzing and rustling is occurring while an adult male speaks,muffled speech and insect buzzing,man speaking while insects buzz around,insects buzzing as a man is talking,men speak as insects buzz,a man speaks while insects buzz,a man speaks while bees buzz
a loud explosion followed by people screaming and screaming,people speaking with loud bangs followed by a slow motion rumble,a group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion,screaming and a big explosion and then screaming,a group of people screaming followed by missiles launching and loud popping explosions then a slowed down explosion,a group of people laughing and screaming alongside firecrackers igniting then exploding followed by a muffled explosion,a loud explosion followed by people screaming,a loud explosion followed by people screaming and screaming
a man speaks while a sewing machine works,a couple of men speaking as metal clanks and a power tool operates,a machine operating as a rapid rate between metal clacks while two men communicate with each other,a man speaks and a machine runs with a continued speech,a man speaks followed by loud vibrations,a man speaking as a sewing machine rapidly operates followed by another man speaking,a man speaks while a sewing machine works,a man speaks while a sewing machine runs
a man speaks followed by whistling,a man speaks and then whistles,male speech and then whistling,man speaks followed by whistling,a man speaks then whistles,a man speaking followed by a series of whistling,a man speaks and whistles,a man speaks followed by whistling
a train running on railroad tracks as a train horn blows in the background,bells ring followed by humming and vibrations as a train passes while blowing a horn,warning bells ring and a horn blows as a train passes,warning bells ring and a train passes with a honking horn,warning bells ring as a train approaches with a honking horn,a train running on railroad tracks while a train horn blows as railroad warning signals ring,a train running on railroad tracks as a train horn blows in the background,a train running on railroad tracks as a train horn blows in the background followed by a train horn honking
a vehicle engine is running and people are talking in the background,a vehicle engine revving as a crowd of people talk,a mid-size motor vehicle engine is revving repeatedly while people talk in the background,humming of a revving idling engine with people speaking in the distance,a vehicle engine revving several times as a crowd of people talk,a vehicle engine revving as a crowd of people talk in the background,a vehicle engine is running and people are talking,a vehicle engine is running and people are talking in the background
ducks quack and people speak,several ducks quack and chirp as men speak and wind blows,a crowd of people talking as a man hollers and laughs while a group of ducks quack,a man talking then laughing as a ducks quack,ducks quack as people communicate,a man shouting and hollering as ducks quack and chirp while wind blows into a microphone,ducks quack and people speak,ducks quacking and people talking
a woman speaks while a clock ticks,digital beeps repeating then a person speaks,beeping sound with person talking in the background,continuous digital beeps with a person speaking and bird chirping in the background,a series of electronic beeping as a woman is talking and birds chirp in the background alongside a camera muffling,a two-tone electronic alarm is ongoing while an adult female is speaking in the foreground and birds are chirping in the background,a woman speaks while a clock ticks,a woman speaks while a clock ticks and ticks
a baby laughs and a woman speaks,a man and woman laughing followed by a man shouting then a woman laughing as a child laughs,a child and a woman laughing followed by a woman talking then a man shouting,laughter and a female speaking and then a male vocalizing a sneezing sound,a baby laughing and the female speech and male shouting,a baby laughs while a man and a woman speaks and laughs as well,a baby laughs and a woman speaks,a baby is laughing and a woman is speaking
a child speaking and crinkling plastic,crumpling paper noise with female speech,plastic crinkling followed by a woman talking then cardboard shuffling,a wrapper crinkling and a woman 's soft voice,paper crackling with female speaking lightly in the background,a woman speaks quietly during a louder sharp crinkling sound,a child speaking and crinkling plastic,a child speaks and crinkles plastic
a bell ringing,a bell is ringing loudly and quickly,a high pitched bell rings rapidly,a medium-pitched metal bell is ringing,several bells are ringing together,a bell ringing repeatedly,a bell ringing,a bell ringing loudly
birds chirping and insects buzzing,several birds chirp with some hissing,several birds tweeting loudly followed by insects chirping,insects trill in the background while birds chirp and flies buzz,birds chirping with insects buzzing and outdoor ambiance,a bird is chirping while a fly is buzzing and another insect is making ringing sounds,birds chirping and insects buzzing,birds chirp and insects buzz
a man speaks and a crowd laughs,a man speaking as a crowd of people laugh and applaud,an adult male speaks and then an audience laughs and claps somewhat followed by the adult male speaking again and then the audience laughing and clapping harder,a man speaking followed by a crowd of people laughing then applauding,a man speaks and a crowd applauds,a man speaks and people laugh and clap,a man speaks and a crowd laughs,a man speaks followed by a crowd laughing
a man speaks followed by a power tool drilling,a small motor buzzing followed by a man speaking as a metal door closes,male speech and then a door shutting,a man talking as an electronic device hums followed by a door closing,electronic humming followed by a man speaking and a door closing,an electric motor buzzing as a man is talking followed by a door closing,a man speaks followed by a power tool drilling,a man speaks followed by a high pitched buzzing
rain falls and thunder cracks,clip-clops gallop as the wind blows and thunder cracks,a horse clip-clops in a windy rain as thunder cracks in the distance,a horse gallops then trot on grass as gusts of wind blow and thunderclaps in the distance,rain falls and distant thunder roars with nearby faint clip-clops of a horse,a light rain with gentle thunder,rain falls and thunder cracks,rain falls and thunder roars
a man speaks followed by water flowing,electronic beeping as a man talks and water pouring in the background,a series of electronic beeps as a man is talking while water trickles in the background,water running softly in the background followed by several shrill beeps and a man speaking,a man speaking and item beeping,water pours a horn honks and a man speaks,a man speaks followed by water flowing,a man speaks followed by water flowing and a bell ringing
rain falls and a man speaks,wind blowing followed by people speaking then a loud burst of thunder,rain falls and a man speaks with distant thunder,a man and a woman talking while rain falls followed by a crash of thunder,a man and a woman communicates with thunder and rain in the background,a man talking followed by another man laughing as rain falls and thunder roars in the distance,rain falls and a man speaks,rain is falling and thunder is rumbling and a man speaks
rain falls and thunder cracks,a heavy rain dies down and begins again,continuous white noise,praying with mechanical noise in background,continuous white noise,ocean waves crashing as water trickles and splashes,rain falls and thunder cracks,rain falls and wind blows hard and thunder roars
a train horn blows and a train passes by,a train sounds horn while traveling on train track,a train horn blowing as a train runs on railroad tracks while a man talks quietly in the background,a train sounds horn and travels,a muffled train running on railroad tracks followed by a train horn honking,train horn sounds as it moves along tracks,a train horn blows and a train passes by,a train horn sounds and a train passes by
a man speaking followed by several gunshots firing,a man speaking over an intercom as a helicopter engine runs followed by several gunshots firing,a man speaking as a muffled helicopter engine runs over an intercom before and after several gunshots firing followed by an electronic beep then radio static,a man is speaking followed by gunfire,a male speech and then repeated gunfire followed by a male speech,a man speaking through an intercom while a helicopter is flying before and after a series of gunshots firing,a man speaking followed by several gunshots firing,a man speaking followed by several gunshots firing and a man speaking
a man is speaking and a sheep bleats,a man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,a man talking as goats baa while wind blows into a microphone followed by another goat baaing and a metal gate sliding,a man talking followed by a goat baaing then a metal gate sliding shut as ducks quack and wind blows into a microphone,a man talking followed by a goat talking as a metal gate slides shut while ducks quack and wind blows into a microphone,a man talking followed by a goat baaing then a metal gate sliding as ducks quack and wind blows into a microphone,a man is speaking and a sheep bleats,a man is speaking and sheep are bleating
a helicopter is flying by,motorcycle engine running,motorcycle engines running and revving as a man talks in the background,an engine running and being revved and some muffled speech,several motorcycle engines running and revving as a man talks in the background,a motorcycle engine is revving with low speech in the background,a helicopter flying by,a helicopter is flying by
a horse is trotting and a car door is opened,a vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background,birds chirping followed by a car door unlocking and opening,a car door opening as a crow caws and birds chirp followed by a vehicle driving by in the background,birds chirping and then a door unlocking and then opening,a vehicle door opening as birds chirp and vehicles pass by in the background,a horse is trotting and a car door opens,a horse is trotting and a car door is opened
a vehicle engine is running and a man speaks,an engine running and wind with various speech in the background,a motorboat engine operating as a crowd of people talk followed by metal creaking and a man speaking,a large motor is running smoothly water is splashing people are talking in the background and an adult male speaks in the distance,a ship engine running as a crowd of people talk followed by a ship hull creaking as wind blows heavily into a microphone,outdoor noise from a water vehicle as people are talking,an engine running with distant murmuring,a vehicle engine is running and a man speaks
a power tool is being used,a drone whirring followed by a crashing sound,toy helicopter whirring and crashing,high frequency humming followed by a smack,a power tool drilling followed by plastic clanking,a whirring followed by an object hitting a surface,a power tool drilling,a power tool is being used
an aircraft engine is running and a man speaks,a man talking as a helicopter flies by,an aircraft motor is running and whirring is present helicopter rotors slap rhythmically and an adult male speaks in the background,a helicopter flying as a man talks in the background,loud rustling and the chop of a helicopter blade,a helicopter is flying above while a man is talking,a helicopter flying by as a man speaks,an aircraft engine is running and a man speaks
a group of people laughing,a group of people laughing followed by farting,several people laughing followed by a popping farting sound,continuous laughter,continuous laughter and chuckling,a group of people laughing followed by a person farting,people laughing,a group of people laughing
people screaming and screaming,screaming wind and an engine running and laughing,people scream with a distant hum and splashing waves,a muffled motorboat engine running as a group of people are laughing and screaming while water splashes and sprays,several people screaming and laughing with a humming engine and splashing waves,people laugh and scream as water splashes and wind blows,people screaming and screaming,a crowd is yelling and yelling
a crowd applauds and cheers,a crowd applauds with a man speaking briefly in the middle,a crowd applauds and faint speech occurs,a crowd of people applauding,a crowd of people applauding and cheering,a crowd applauds,an audience gives applause,a crowd applauds and cheers
a baby is laughing and a person is laughing,a series of computer mouse clicks followed by a kid crying,small child crying followed by the child blowing their nose,some light tapping on a computer keyboard and a baby crying,clicking followed by crying and a nose being blown,a child crying followed by a person blowing their nose during a series of computer mouse clicks,a baby cries and fusses,a baby is laughing and a person is laughing
a frog croaks and a machine beeps,a series of electronic beeps followed by static,a few digital hums followed by scratching,a bleeping noise followed by a static noise,digital humming and buzzing followed by scratching,a mechanical beeping tone followed by static then the return of the beeping,a frog croaks and a machine beeps,a frog croaks and then a frog croaks
a person is snoring,loud snoring repeating,a person snoring,static sounds are vibrating along with snoring,loud snoring repeating,continuous long snoring,a person is snoring,a person is snoring and breathing
a toilet flushes and water drains,water pouring down a drain with a series of metal clangs followed by a metal chain rattling,rustling and tapping followed by brief gurgling,a series of loud metal hammering as liquid drains down a pipe followed by a metal chain rattling,metal clanking several times as water drains down a pipe followed by metal rattling and water trickling,metal clacking sharply several times as water drains down a pipe followed by metal rattling,a toilet is flushed,a toilet flushes and water drains
water is flowing and gurgling and gurgling and an adult male speaks in the background,a man talking as water splashes,waves crashing onto shore followed by a man talking,surf comes ashore as a man speaks,water splashes and wind blows as men speak,water moving with male voices soft in the background,water is flowing and gurgling and gurgling and an adult male speaks,water is flowing and gurgling and gurgling and an adult male speaks in the background
water is splashing and gurgling and an adult male speaks,wind blowing and water splashing,plastic thumping as a man laughs and a kid talk in the distance as wind blows into a microphone and water is splashing,water is splashing and a man laughs,a man giggles as the wind blows and water splashes with people speaking in the background,plastic thumping as a man laughs followed by a kid speaking in the distance as water splashes and wind blows into a microphone,water is splashing and a person speaks,water is splashing and gurgling and an adult male speaks
people laughing and talking,a group of people laughing followed by a man talking,a group of people laughing followed by a young man talking,people laugh and speak,a group of people laughing followed by a man talking,a group of people laughing followed by a young man talking,people laughing,people laughing and talking
a person snoring and a man speaking,a person snoring followed by a man talking,a person snoring followed by a man talking,snoring followed by male speech,a person snoring followed by a man talking,snoring is ongoing and an adult male speaks,a person snoring and a man speaking,a person snores and a man speaks
a woman is speaking and crinkling plastic,girl speaks and crunches plastic wrapping,plastic crinkling as a young girl is talking,female speaking followed by crinkling,a young girl speaks with some crinkling plastic,a young woman talking as plastic crinkles and crumples,a woman is speaking and crinkling plastic,a woman is speaking and crumpling plastic
pigeons coo and flap their wings,pigeons cooing as air lightly hisses in the background followed by a camera muffling,birds coo quietly engine runs in the background,pigeons cooing followed by camera muffling,pigeons cooing followed by footsteps shuffling on gravel,pigeons coo with a distant humming,pigeons coo and flap wings,pigeons coo and flap their wings
a sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer can spraying,a series of compressed air spraying as a motor hums in the background,white noise followed by intermittent hissing,repeated bursts of spray,short bursts of spraying,air spraying several times as a machine motor hums in the distance,a sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer can spraying,a sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer sprayer
a clock ticking,low ticktock sounds followed by objects moving,ticking is ongoing and slight rustling occurs,tick-tocking by a clock,tick took of a clock,rhythmic ticking is occurring,a clock ticking,a clock ticking at a steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady static
a series of gunshots firing followed by a man speaking then a series of gunshots firing,gunshots fire an adult male speaks footfalls and clicking occur as other adult males speak gunshots fire again an adult male speaks and a dog growls,a series of gunshots followed by a man speaking and footsteps running proceeded by more gunshots firing and a dog growling,a man talking as footsteps run on concrete followed by a series of gunshots firing a gun cocking while another man talks in the background before a dog growls,multiple gunfire sounds and men speak,a man shouting as another man talks in the background while a series of gunshots fire and footsteps running on concrete followed by guns cocking and a dog growling,a series of gunshots firing followed by a man speaking then a series of gunshots firing,a series of gunshots firing followed by a man speaking then a series of gunshots firing and a gun fire firing
wind blows and a horse runs,footsteps shuffling on snow alongside a camera muffling while wind blows into a microphone,footsteps walking on snow during camera muffling as wind blows into a microphone,muffled rustling noise over wind blowing over a microphone,footsteps walking on snow with wind blowing on a microphone and camera muffling during audio feedback buzzing,wind blows followed by rustling and scraping,a horse is trotting,wind blows and a horse runs
a duck quacks repeatedly,duck quacking repeatedly,a duck quacking,a duck quacking,l duck quacks in rapid succession,a duck quacking,a duck quacks repeatedly,a duck quacks loudly
frogs croaking and insects croaking,tribal drums playing as footsteps shuffle on wet dirt as frogs and crickets chirp in the background,frogs croaking with wet slaps and brief drums,footsteps and a croaking frog,bongos play followed by tapping on paper as frogs croak and crickets chirp in the background,the pitter-patter of feet running,frogs croaking and insects croaking,frogs croaking and crickets chirping
a dog barks and barks and an adult male speaks and laughs,a rooster clucking followed by a dog whimpering then a man talking and a dog barking,a rooster clucking followed by a dog whimpering proceeded by a man laughing then talking before a dog barks,a dog whimpering followed by laughing and barking,a rooster cackles and a dog yelps and whimpers followed by a man laughing and then speaking then the dog barks,a dog whimpers then a male voice laughs and talks as the dog starts to bark shortly after,a dog is barking and a man speaks,a dog barks and barks and an adult male speaks and laughs
a power tool is being used,a power tool drill operating continuously,high pitched motorized vibrations,a sustained and coarse drilling noise,a tool motor is humming and metal whirring and grinding are occurring,a saw blade blaring,a power tool is being used,a small motor is running and sawing and sawing and sawing
a man speaking with birds chirping in the background,a man speaking as birds are chirping,a man speaks with some humming and birds chirping,a man is speaking followed by birds chirping,a man speaks followed by chirping birds,a man speaking as birds chirp in the background,a man speaks and birds chirp,a man speaking with birds chirping in the background
an emergency siren is triggered and a man speaks,pretend to scream and crying is occurring and an adult male begins to speak,a kid crying followed by a man talking,baby cries and then man speaks,an kid crying followed by a man shouting,a baby cries and a man talks,an emergency siren is triggered and a man speaks,an emergency siren is triggered while a man speaks
a file is being used,metal scrapping against a wooden surface followed by sand scrapping then more metal scrapping against wood,rapid filing and scraping of wood occurs followed by brushing and a thump,scraping and banging,metal scrapping against a wooden surface followed by light sanding then metal scraping against a wooden surface,metal scrapping on wood followed by wood sanding then more metal scrapping against wood,wood is being filed,a file is being used
a woman speaks and a cat meows,a cat meows and a woman speaks,a woman speaks and a cat meows,an adult female speaks as a cat meows three times and an electronic device plays in the background,a woman talking as a cat meows,woman speaking to meowing cat,a woman speaks and a cat meows,a woman speaks followed by a cat meowing
